iter	Passed	Remaining
0	39	7778
1	81	8028
2	112	7372
3	153	7529
4	177	6903
5	199	6451
6	222	6136
7	238	5725
8	255	5430
9	269	5121010	291	5011111	316	4961
12	331	4769
13	349	4646
14	369	4556
15	388	4472
16	411	4433
17	431	4366
18	453	4319
19	470	4231
20	481	4103
21	498	4031
22	514	3961
23	531	3898
24	544	3809
25	568	3804
26	588	3768
27	602	3700
28	613	3617
29	629	3565
30	644	3512
31	656	3444
32	669	3389
33	685	3347
34	702	3311
35	719	3276
36	735	3238
37	750	3200
38	764	3154
39	776	3106
40	790	3066
41	808	3040
42	826	3018
43	862	3056
44	876	3019
45	906	3033
46	941	3064
47	961	3043
48	982	3026
49	1002	3008
50	1019	2977
51	1036	2950
52	1051	2915
53	1071	2896
54	1095	2887
55	1115	2868
56	1129	2833
57	1145	2804
58	1157	2766
59	1170	2731
60	1183	2696
61	1199	2668
62	1211	2635
63	1223	2600
64	1247	2590
65	1267	2572
66	1287	2555
67	1313	2549
68	1327	2519
69	1341	2491
70	1359	2469
71	1389	2469
72	1426	2482
73	1451	2471
74	1468	2447
75	1484	2421
76	1502	2400
77	1532	2396
78	1552	2377
79	1589	2384
80	1605	2359
81	1619	2330
82	1647	2322
83	1670	2307
84	1707	2310
85	1735	2300
86	1764	2291
87	1788	2275
88	1821	2271
89	1844	2254
90	1866	2236
91	1884	2211
92	1921	2211
93	1948	2196
94	1974	2182
95	1993	2159
96	2034	2160
97	2058	2142
98	2109	2152
99	2134	2134
100	2154	2112
101	2183	2097
102	2198	2070
103	2215	2045
104	2232	2019
105	2255	1999
106	2270	1973
107	2291	1951
108	2317	1934
109	2340	1915
110	2361	1893
111	2394	1881
112	2410	1855
113	2438	1839
114	2468	1824
115	2498	1808
116	2512	1782
117	2537	1763
118	2552	1737
119	2573	1715
120	2593	1693
121	2612	1670
122	2636	1650
123	2655	1627
124	2666	1600
125	2678	1573
126	2690	1546
127	2703	1520
128	2720	1497
129	2738	1474
130	2752	1449
131	2766	1424
132	2779	1400
133	2792	1375
134	2803	1349
135	2820	1327
136	2835	1303
137	2848	1279
138	2864	1256
139	2873	1231
140	2904	1215
141	2936	1199
142	2963	1181
143	2972	1155
144	2980	1130
145	2988	1105
146	2994	1079
147	3001	1054
148	3009	150	3037	985
151	3099	978
152	3150	967
153	3194	954
154	3214	933
155	3233	912
156	3241	887
157	3254	865
158	3261	840
159	3269	817
160	3275	793
161	3281	769
162	3289	746
163	3295	723
164	3301	700
165	3307	677
166	3314	654
167	3320	632
168	3326	610
169	3333	588
170	3340	566
171	3347	544
172	3354	523
173	3361	502
174	3367	481
175	3374	460
176	3381	439
177	3386	418
178	3392	398
179	3399	377
180	3406	357
181	3411	337
182	3417	317
183	3423	297
184	3428	277
185	3433	258
186	3438	239
187	3444	219
188	3450	200
189	3455	181
190	3460	163
191	3465	144
192	3471	125
193	3476	107
194	3482	89
195	3487	71
196	3492	53
197	3497	35
198	3502	17
199	3507	0
3384	17
199	3390	0
